office,district,votefor,candidate,party,votes,type,winner
GOVERNOR, ,1,JIM STERN, ,2,Write-in,False
GOVERNOR, ,1,MIKE HUNT, ,2,Write-in,False
GOVERNOR, ,1,JOSEPH BARNEY, ,1,Write-in,False
GOVERNOR, ,1,KATHY PELLETT, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,3,Write-in,False
GOVERNOR, ,1,SCOTT FRYE, ,1,Write-in,False
GOVERNOR, ,1,SUE MINTER, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,BENJI BONNILA, ,1,Write-in,False
GOVERNOR, ,1,BRIAN COLLAMORE, ,1,Write-in,False
GOVERNOR, ,1,HARRY BROWN, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,PEG FLORY, ,1,Write-in,False
GOVERNOR, ,1,WILLIE CLARK, ,2,Write-in,False
GOVERNOR, ,1,ZUPAN, ,2,Write-in,False
GOVERNOR, ,1,ISSAID NOJA, ,1,Write-in,False
GOVERNOR, ,1,KEITH STEM, ,1,Write-in,False
GOVERNOR, ,1,GLEN LOWER, ,1,Write-in,False
GOVERNOR, ,1,PHIL SCOTT, ,1,Write-in,False
GOVERNOR, ,1,JAMES EHLERS, ,1,Write-in,False
GOVERNOR, ,1,PAUL ROGERS, ,1,Write-in,False
GOVERNOR, ,1,JOHN ROGERS, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERNS, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,2,Write-in,False
GOVERNOR, ,1,TARL WARWICK, ,2,Write-in,False
GOVERNOR, ,1,KEITH STERNS, ,1,Write-in,False
GOVERNOR, ,1,DAVID ZUCKERMAN, ,2,Write-in,False
GOVERNOR, ,1,JOHN ROGERS, ,7,Write-in,False
GOVERNOR, ,1,MASON JUDD, ,1,Write-in,False
GOVERNOR, ,1,PAT WRIGHT, ,1,Write-in,False
GOVERNOR, ,1,KEITH ELLIS, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,3,Write-in,False
GOVERNOR, ,1,TARL WARWICK, ,1,Write-in,False
GOVERNOR, ,1,DAVID ZUCKERMAN, ,1,Write-in,False
GOVERNOR, ,1,HOLLI DESO, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,RANDY BROCK, ,1,Write-in,False
GOVERNOR, ,1,JOHN ROGERS, ,1,Write-in,False
GOVERNOR, ,1,KEITH STEARNS, ,7,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,JOE PIKE, ,1,Write-in,False
GOVERNOR, ,1,KEITH STEARNS, ,2,Write-in,False
